epoch,wins,losses,draws,win_rate,loss_rate,draw_rate
0,34,9,7,0.68,0.18,0.14
1,29,15,6,0.58,0.3,0.12
2,37,9,4,0.74,0.18,0.08
3,30,12,8,0.6,0.24,0.16
4,37,9,4,0.74,0.18,0.08
5,34,10,6,0.68,0.2,0.12
6,39,6,5,0.78,0.12,0.1
7,36,9,5,0.72,0.18,0.1
8,31,11,8,0.62,0.22,0.16
9,35,4,11,0.7,0.08,0.22
10,35,6,9,0.7,0.12,0.18
11,37,7,6,0.74,0.14,0.12
12,37,8,5,0.74,0.16,0.1
13,29,9,12,0.58,0.18,0.24
14,38,4,8,0.76,0.08,0.16
15,36,9,5,0.72,0.18,0.1
16,36,8,6,0.72,0.16,0.12
17,36,9,5,0.72,0.18,0.1
18,40,1,9,0.8,0.02,0.18
19,34,6,10,0.68,0.12,0.2
20,37,5,8,0.74,0.1,0.16
21,37,2,11,0.74,0.04,0.22
22,39,4,7,0.78,0.08,0.14
23,39,6,5,0.78,0.12,0.1
24,36,8,6,0.72,0.16,0.12
25,39,3,8,0.78,0.06,0.16
26,40,3,7,0.8,0.06,0.14
27,41,6,3,0.82,0.12,0.06
28,39,4,7,0.78,0.08,0.14
29,41,2,7,0.82,0.04,0.14
30,40,5,5,0.8,0.1,0.1
31,35,8,7,0.7,0.16,0.14
32,42,4,4,0.84,0.08,0.08
33,42,5,3,0.84,0.1,0.06
34,35,8,7,0.7,0.16,0.14
35,42,2,6,0.84,0.04,0.12
36,40,3,7,0.8,0.06,0.14
37,37,5,8,0.74,0.1,0.16
38,37,4,9,0.74,0.08,0.18
39,41,5,4,0.82,0.1,0.08
40,39,3,8,0.78,0.06,0.16
41,39,2,9,0.78,0.04,0.18
42,41,3,6,0.82,0.06,0.12
43,43,4,3,0.86,0.08,0.06
44,37,5,8,0.74,0.1,0.16
45,40,3,7,0.8,0.06,0.14
46,40,4,6,0.8,0.08,0.12
47,42,1,7,0.84,0.02,0.14
48,38,3,9,0.76,0.06,0.18
49,37,3,10,0.74,0.06,0.2
