epoch,wins,losses,draws,win_rate,loss_rate,draw_rate
0,0,31,19,0.0,0.62,0.38
1,0,34,16,0.0,0.68,0.32
2,0,32,18,0.0,0.64,0.36
3,0,23,27,0.0,0.46,0.54
4,0,26,24,0.0,0.52,0.48
5,0,28,22,0.0,0.56,0.44
6,0,29,21,0.0,0.58,0.42
7,0,31,19,0.0,0.62,0.38
8,0,33,17,0.0,0.66,0.34
9,0,37,13,0.0,0.74,0.26
10,0,28,22,0.0,0.56,0.44
11,0,37,13,0.0,0.74,0.26
12,0,35,15,0.0,0.7,0.3
13,0,31,19,0.0,0.62,0.38
14,0,31,19,0.0,0.62,0.38
15,0,35,15,0.0,0.7,0.3
16,0,30,20,0.0,0.6,0.4
17,0,25,25,0.0,0.5,0.5
18,0,31,19,0.0,0.62,0.38
19,0,30,20,0.0,0.6,0.4
20,0,26,24,0.0,0.52,0.48
21,0,26,24,0.0,0.52,0.48
22,0,31,19,0.0,0.62,0.38
23,0,27,23,0.0,0.54,0.46
24,0,28,22,0.0,0.56,0.44
25,0,31,19,0.0,0.62,0.38
26,0,28,22,0.0,0.56,0.44
27,0,30,20,0.0,0.6,0.4
28,0,29,21,0.0,0.58,0.42
29,0,30,20,0.0,0.6,0.4
30,0,25,25,0.0,0.5,0.5
31,0,30,20,0.0,0.6,0.4
32,0,26,24,0.0,0.52,0.48
33,0,21,29,0.0,0.42,0.58
34,0,22,28,0.0,0.44,0.56
35,0,23,27,0.0,0.46,0.54
36,0,23,27,0.0,0.46,0.54
37,0,22,28,0.0,0.44,0.56
38,0,23,27,0.0,0.46,0.54
39,0,21,29,0.0,0.42,0.58
40,0,29,21,0.0,0.58,0.42
41,0,28,22,0.0,0.56,0.44
42,0,21,29,0.0,0.42,0.58
43,0,26,24,0.0,0.52,0.48
44,0,19,31,0.0,0.38,0.62
45,0,14,36,0.0,0.28,0.72
46,0,17,33,0.0,0.34,0.66
47,0,21,29,0.0,0.42,0.58
48,0,20,30,0.0,0.4,0.6
49,0,23,27,0.0,0.46,0.54
